ax,ay,az,gx,gy,gz,dt
0.0679,0.0029,0.9995,-0.2515,-0.7851,0.3887,0.000012
0.0778,0.0247,1.0056,-0.4116,-0.8232,0.2134,0.012762
0.0657,0.0002,1.0002,0.1296,-0.0610,-0.4649,0.011981
0.0653,0.0009,1.0001,-0.0610,-0.1829,-0.3125,0.012000
0.0753,0.0081,1.0010,0.0000,-0.1220,-0.4192,0.012000
0.0686,0.0045,1.0007,0.3735,0.2973,-0.5183,0.012000
0.0708,0.0057,1.0010,0.2363,0.4497,-0.5869,0.012000
0.0677,0.0073,1.0007,0.3506,0.7622,-0.5945,0.012000
0.0665,0.0064,1.0001,0.3506,0.8003,-0.5945,0.012000
0.0703,0.0069,0.9987,0.3659,0.6707,-0.6402,0.012000
0.0681,0.0073,0.9996,0.3430,0.5945,-0.6479,0.012000
0.0697,0.0043,0.9988,0.2287,0.5183,-0.5412,0.012000
0.0677,0.0046,1.0012,0.1220,0.5107,-0.5030,0.012000
0.0702,0.0037,1.0008,0.2515,0.5335,-0.4954,0.012000
0.0695,0.0067,0.9985,0.2515,0.3506,-0.5488,0.012000
0.0685,0.0061,1.0013,0.1296,0.3659,-0.5564,0.012000
0.0692,0.0070,0.9989,0.1677,0.4192,-0.5259,0.012000
0.0690,0.0065,0.9988,0.3735,0.5107,-0.5564,0.012000
0.0691,0.0048,1.0000,0.1982,0.5945,-0.5793,0.012000
0.0696,0.0055,1.0015,0.1524,0.5640,-0.5716,0.012000
0.0715,0.0076,1.0010,0.1829,0.5412,-0.5488,0.012000
0.0710,0.0063,0.9990,0.2668,0.4345,-0.5640,0.012000
0.0690,0.0034,0.9988,0.3506,0.4878,-0.5107,0.012000
0.0698,0.0043,0.9982,0.2896,0.5412,-0.6098,0.012000
0.0692,0.0060,0.9999,0.1829,0.4726,-0.5793,0.012000
0.0699,0.0059,0.9990,0.1982,0.4421,-0.5335,0.012000
0.0681,0.0049,0.9986,0.2973,0.4573,-0.5640,0.012000
0.0701,0.0057,1.0013,0.1982,0.5793,-0.5793,0.012000
0.0696,0.0040,0.9981,0.2820,0.4192,-0.5564,0.012000
0.0714,0.0065,1.0001,0.1448,0.4726,-0.5488,0.012000
0.0696,0.0057,1.0007,0.2363,0.4573,-0.5640,0.012000
0.0686,0.0051,0.9995,0.1829,0.4345,-0.4726,0.012000
0.0690,0.0047,1.0007,0.1905,0.4116,-0.4802,0.012000
0.0717,0.0084,0.9996,0.0305,0.3125,-0.5183,0.012000
0.0677,0.0049,0.9965,0.2439,0.5793,-0.5564,0.012000
0.0674,0.0056,1.0012,0.3277,0.5640,-0.4878,0.012000
0.0717,0.0047,1.0001,0.2744,0.4726,-0.5716,0.012000
0.0723,0.0054,1.0005,0.2744,0.5183,-0.5335,0.012000
0.0689,0.0049,1.0020,0.2668,0.5793,-0.6250,0.012000
0.0706,0.0056,1.0021,0.3430,0.5183,-0.5716,0.012000
0.0710,0.0068,1.0004,0.3430,0.5793,-0.5488,0.012000
0.0684,0.0065,0.9999,0.2896,0.5259,-0.5640,0.012000
0.0687,0.0064,0.9996,0.1982,0.5259,-0.6402,0.012000
0.0715,0.0058,0.9984,0.2668,0.5183,-0.6098,0.012000
0.0672,0.0054,1.0017,0.2591,0.6250,-0.6402,0.012000
0.0701,0.0059,1.0003,0.3049,0.6936,-0.6860,0.012000
0.0690,0.0044,1.0007,0.2668,0.6860,-0.5259,0.012000
0.0692,0.0057,1.0009,0.1372,0.6784,-0.6021,0.012000
0.0693,0.0045,0.9990,0.1982,0.5412,-0.5793,0.012000
0.0701,0.0065,0.9970,0.2668,0.5335,-0.5869,0.012000
0.0715,0.0067,1.0015,0.2668,0.6174,-0.4878,0.012000
0.0677,0.0046,1.0020,0.3049,0.4954,-0.5793,0.012000
